,open_2,low_2,high_2,close_2,volume_2
2006-04-20,215.11,214.31,216.6,215.88,13379.0
2006-04-21,215.88,210.46,216.49,211.57,14475.0
2006-04-22,215.88,210.46,216.49,211.57,14475.0
2006-04-23,215.88,210.46,216.49,211.57,14475.0
2006-04-24,211.59,210.7,213.02,211.67,13542.0
2006-04-25,211.69,211.38,213.8,212.23,13695.0
2006-04-26,212.23,211.94,214.49,212.96,14429.0
2006-04-27,212.96,209.62,213.81,210.33,14146.0
2006-04-28,210.31,206.93,211.16,207.4,13855.0
2006-04-29,210.31,206.93,211.16,207.4,13855.0
2006-04-30,210.31,206.93,211.16,207.4,13855.0
2006-05-01,207.4,207.2,209.64,209.28,12059.0
2006-05-02,209.3,207.18,210.3,207.23,14394.0
2006-05-03,207.23,205.29,208.07,206.09,15346.0
2006-05-04,206.09,204.05,207.77,204.54,16097.0
2006-05-05,204.53,202.68,205.57,203.13,13890.0
2006-05-06,204.53,202.68,205.57,203.13,13890.0
2006-05-07,204.53,202.68,205.57,203.13,13890.0
2006-05-08,203.14,202.42,204.51,203.5,13125.0
2006-05-09,203.52,203.39,205.67,203.66,13909.0
2006-05-10,203.64,202.68,204.58,204.12,21525.0
2006-05-11,204.11,202.74,205.57,203.07,23638.0
2006-05-12,203.06,202.62,206.81,205.15,26372.0
2006-05-13,203.06,202.62,206.81,205.15,26372.0
2006-05-14,203.06,202.62,206.81,205.15,26372.0
2006-05-15,205.16,204.71,209.89,206.88,25092.0
2006-05-16,206.88,203.61,207.45,203.69,25164.0
2006-05-17,203.69,202.4,209.09,208.24,26688.0
2006-05-18,208.27,205.18,208.62,205.64,23740.0
2006-05-19,205.64,205.04,208.11,205.68,22887.0
2006-05-20,205.64,205.04,208.11,205.68,22887.0
2006-05-21,205.64,205.04,208.11,205.68,22887.0
2006-05-22,205.68,204.62,209.0,205.2,23245.0
2006-05-23,205.2,202.85,205.84,205.48,24108.0
2006-05-24,205.47,203.52,206.42,205.76,26752.0
2006-05-25,205.76,203.14,205.85,204.1,22677.0
2006-05-26,204.1,203.05,205.54,203.51,19747.0
2006-05-27,204.1,203.05,205.54,203.51,19747.0
2006-05-28,204.1,203.05,205.54,203.51,19747.0
2006-05-29,203.5,202.91,204.54,203.15,11673.0
2006-05-30,203.16,202.2,204.04,202.95,22756.0
2006-05-31,202.96,202.62,205.54,205.39,23683.0
2006-06-01,205.4,203.98,206.78,204.12,21055.0
2006-06-02,204.13,201.54,204.7,202.3,19866.0
